References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
S1	1	1825910-7-1825910-7 1825910-7 SW	TE Connectivity	1825910-7	450-1804-ND		4791429	46Y9218	2468761
U1	1	ATtiny85-20PU-MCU Microchip ATtiny ATtiny85-20PU DIP-8 W7.62mm	Microchip	ATTINY85-20PU	ATTINY85-20PU-ND	556ATTINY8520PU	1331672	68T3808	1455162
U2	1	BAT-HLD-001-BAT-HLD-001 BAT-HLD-001	Linx	BAT-HLD-001-THM	BAT-HLD-001-THM-ND	712BATHLD001THM			
BZ1	1	Buzzer Buzzer, polar 12x9.5RM7.6	TDK	PS1240P02BT	445-2525-1-ND	810PS1240P02BT		23AC9037	1669966
C1, C2	2	CAP 100nF C 0805 2012Metric Pad1.15x1.40mm HandSolder	Samsung	CL21F104ZBCNNNC	1276-1007-1-ND			82AC9476	2988916
D1	1	LED generic 5.0 mm							
SW1	1	PCM12SMTR-PCM12SMTR PCM12SMTR SW	C&K Components	PCM12SMTR	401-2016-1-ND	611PCM12SMTR	7931721	34M7921	9575146
R2, R6, R3	3	R 100 Resistor 0805 2012Metric Pad1.15x1.40mm HandSolder	Yageo	RC0805FR-07100RL	311-100CRDKR-ND	603RC0805FR07100RL	6185135	68R0232	2459312
R1, R7	2	R 10k Resistor 0805 2012Metric Pad1.15x1.40mm HandSolder	Yageo	RC0805FR-0710KL	311-10.0KCRCT-ND	603RC0805FR0710KL	6185163	68R0229	2148862
R4, R5	2	R 22k Resistor 0805 2012Metric Pad1.15x1.40mm HandSolder	Bourns	CR0805-FX-2202ELF	CR0805-FX-2202ELFCT-ND	652CR0805FX2202ELF	7409016	72T1388	2008386
RV1	1	R POT Potentiometer Bourns 3214J Horizontal	BI Technologies	23AR20KLFTR	987-1010-1-ND	85823AR20KLFTR		74M6549	1520627
J2	1	SJ-3524-SMT-SJ-3524-SMT SJ-3524-SMT CUI	CUI	SJ-3524-SMT-TR	CP-3524SJDKR-ND	490SJ3524SMTTR			
D4, D3	2	WS2812B RGB LED	Adafruit Industries	1655	1528-1104-ND	4851655			
